ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified,Year
2,Jewel Box,Dinkler-Tutwiler Hotel,20th St & 5th Avenue North,Birmingham,AL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required",Bars/Clubs,checked,,8/13/2019 9:23pm,9/7/2019 11:29am,1965
8,Jefferson Davis Hotel Bar,,Catoma & Montgomery,Montgomery,AL,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 9:23pm,9/7/2019 11:30am,1965
57,Petite Lounge,Dinkler Plaza Hotel,Forsyth & Luckie Sts.,Atlanta,GA,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 9:23pm,9/7/2019 11:30am,1965
71,Mirror Room,,3rd & Florida,Baton Rouge,LA,(*) - Very popular,Bars/Clubs,checked,,8/13/2019 9:23pm,9/7/2019 11:30am,1965
93,Dukes Tavern,Jack Tar Hotel,Corcoran & Chapel,Durham,NC,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 10:41pm,9/7/2019 11:30am,1965
96,New Yorker,,King St near Market,Charleston,SC,(*) - Very popular,Bars/Clubs,checked,,8/13/2019 10:41pm,9/7/2019 11:21am,1965
102,Read House Tavern,,9th and Broad,Chattanooga,TN,,Bars/Clubs,checked,,8/13/2019 11:03pm,9/7/2019 11:30am,1965
103,New Southern Hotel Bar,,Baltimore & Liberty,Jackson,TN,,Bars/Clubs,checked,,8/13/2019 11:03pm,9/7/2019 11:30am,1965
107,Frank's Shobar,,Bellevue & Eastmoreland,Memphis,TN,,Bars/Clubs,checked,,8/13/2019 11:03pm,9/7/2019 11:30am,1965
108,Oasis,,Union St.,Memphis,TN,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,checked,,8/13/2019 11:03pm,9/7/2019 11:21am,1965
119,Atlantis,,Field St & Cedar Springs,Dallas,TX,(*) - Very popular,Bars/Clubs,checked,,8/18/2019 9:56pm,9/7/2019 11:30am,1965
122,Numbers,,McKinney & Harwood,Dallas,TX,"""(G) - Girls, but seldom exclusively"",(*) - Very popular",Bars/Clubs,checked,,8/18/2019 9:56pm,9/7/2019 11:30am,1965
125,Clown Room,(Behind Plaza Hotel),,El Paso,TX,(*) - Very popular,Bars/Clubs,checked,,8/18/2019 9:56pm,9/7/2019 11:21am,1965
128,Plaza Hotel Bar,,Mills & Orgeon,El Paso,TX,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required",Bars/Clubs,checked,,8/18/2019 9:56pm,9/7/2019 11:30am,1965
129,Lafitte,,25th St,Galveston,TX,(*) - Very popular,Bars/Clubs,checked,,8/18/2019 9:56pm,9/7/2019 11:21am,1965
155,Hotel Waverly,,22nd & Ocean Front,Virginia Beach,VA,"""(H) - Hotel, motel, or other overnight accomodations""",Hotels,checked,,8/18/2019 10:12pm,9/7/2019 11:30am,1965
22,Kon Tiki,,Beach Blvd.,Jacksonville Beach,FL,"(PE) - Pretty elegant - jacket & tie may be required,(M) - Mixed Crowds",Bars/Clubs,checked,,8/13/2019 9:23pm,9/7/2019 11:21am,1965
32,Studio Restaurant,,32nd Ave,Miami,FL,,Restaurant,checked,,8/13/2019 9:23pm,9/7/2019 11:21am,1965
50,Ohio,,Tampa & Polk,Tampa,FL,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 9:23pm,9/7/2019 11:30am,1965
83,Koko's Lounge,,Koko Beach Motel,Biloxi,MS,,Bars/Clubs,checked,,8/13/2019 10:41pm,9/7/2019 11:21am,1965
84,Koko Beach Hotel,,W Beach Hwy,Biloxi,MS,"""(H) - Hotel, motel, or other overnight accomodations""",Hotels,checked,,8/13/2019 10:41pm,9/7/2019 11:21am,1965
86,Tap Room,,Broadway,Hattiesburg,MS,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 10:41pm,9/7/2019 11:21am,1965
87,Robert E Lee Hotel Bar,,N Lamar,Jackson,MS,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 10:41pm,9/7/2019 11:21am,1965
88,Sports Lounge,,May St,Jackson,MS,(M) - Mixed Crowds,Bars/Clubs,checked,,8/13/2019 10:41pm,9/7/2019 11:21am,1965
