ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Fire Pit,,1915 5th Ave N,Birmingham,AL,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:22am,8/19/2019 12:26am
2,Jewel Box,"Dinkler-Tutwiler Hotel
",20th St & 5th Ave N,Birmingham,AL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs,Hotels",,,8/19/2019 12:22am,8/28/2019 2:44pm
3,Mammy's Pancake House,,"2151 Hihgland Ave S
",Birmingham,AL,"""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,8/19/2019 12:22am,8/19/2019 12:26am
4,Rathskeller,,400 N 20th St,Birmingham,AL,,Bars/Clubs,,,8/19/2019 12:22am,8/19/2019 12:26am
5,Red Room,"Redmont Hotel
",2101 5th Ave N,Birmingham,AL,,"Bars/Clubs,Hotels",,,8/19/2019 12:22am,8/28/2019 2:44pm
6,Club Royal,,78 S Royal,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,8/19/2019 12:22am,8/19/2019 12:27am
7,Flamingo Room,Mobile Steak House,170 S St Francis St,Mobile,AL,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:22am,8/19/2019 12:27am
8,Key Hole,,80 Commerce st,Montgomery,AL,,Bars/Clubs,,,8/19/2019 12:22am,8/19/2019 12:27am
9,Jefferson Davis Hotel Bar,,Catoma St & Montgomery,Montgomery,AL,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/19/2019 12:22am,8/28/2019 2:44pm
10,Mollie's,,360 Central Ave,Hot Springs,AR,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds",Restaurant,,,8/19/2019 12:22am,8/19/2019 1:00am
11,Peacock Lounge,,220 Central Ave,Hot Springs,AR,,Bars/Clubs,,,8/19/2019 12:22am,8/19/2019 1:00am
12,Gar Hole,Marion Hotel,Marion Hotel,Little Rock,AR,,"Bars/Clubs,Hotels",checked,,8/19/2019 12:23am,8/28/2019 2:44pm
13,Nightingale,,24 S Garden Ave,Clearwater,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:10am
14,State Bar,,S Garden Avwe,Clearwater,FL,(M) - Mixed Crowds,Bars/Clubs,checked,,8/19/2019 12:23am,8/19/2019 1:10am
15,Castle Club,Inquire locally,,Daytona Beach,FL,"(D) - Dancing,(P) - Private club - Inquire locally to admission",Bars/Clubs,checked,,8/19/2019 12:23am,8/19/2019 1:10am
16,Hollywood Bar,,415 Main St,Daytona Beach,FL,,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:10am
17,Vagabond Hut,North end of Boardwalk,,Daytona Beach,FL,(M) - Mixed Crowds,Bars/Clubs,checked,,8/19/2019 12:23am,8/19/2019 1:10am
18,Yum Yum Tree,Hwy 1 in Holly Hill,703 Ridgewood,Daytona Beach,FL,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:10am
19,Elbo Room,"(Collegiate) Ft. Lauderdale Beach
",241 S Atalntic ,Ft. Lauderdale,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:10am
20,George's Ocean House,Ft. Lauderdale Beach,1609 N Atlantic ,Ft. Lauderdale,FL,"""(H) - Hotel, motel, or other overnight accomodations""",Hotels,,,8/19/2019 12:23am,8/19/2019 1:06am
21,The Saloon,,219 SW 1st Ave,Ft. Lauderdale,FL,,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:11am
22,Zanzibar,,214 SW 1st ave,Ft. Lauderdale,FL,(*) - Very popular,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:11am
23,Bradford Hotel Lounge,,Main St,Ft. Myers,FL,,"Bars/Clubs,Hotels",checked,,8/19/2019 12:23am,8/28/2019 2:44pm
24,Calypso Lounge,,150 San Carlos,Ft. Myers,FL,,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:11am
25,Pub,"(Collegiate)
",921 W University Ave,Gainesville,FL,(M) - Mixed Crowds,Bars/Clubs,,,8/19/2019 12:23am,8/19/2019 1:11am
26,Cork Room,,Hwy 1,Hallandale,FL,"""(G) - Girls, but rarely exclusively""",Bars/Clubs,checked,,8/19/2019 12:23am,8/19/2019 1:11am
