"","ID","title","description","streetaddress","lon","lat","geoAddress","city","state","amenityfeatures","type","Year","notes","dateadded","lastmodified","full.address","Status"
"1",249,"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1974,"","2/24/2020 5:41pm","2/26/2020 4:19pm",", District of Columbia","Verified Location"
"2",236,"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1973,"","2/24/2020 5:41pm","2/26/2020 4:19pm",", District of Columbia","Verified Location"
"3",262,"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"","2/24/2020 5:41pm","2/26/2020 4:19pm",", District of Columbia","Verified Location"
"4",292,"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"","2/24/2020 5:41pm","2/26/2020 4:19pm",", District of Columbia","Verified Location"
"5",224,"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1972,"","2/24/2020 5:41pm","2/26/2020 4:19pm",", District of Columbia","Verified Location"
"6",278,"'Black Forest'","walking area under bridge at 27th & Pennsylvania N.W.","",-77.056082,38.904951,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1976,"","2/24/2020 5:41pm","2/26/2020 4:19pm",", District of Columbia","Verified Location"
"7",257,"'P' St. 'Beach' ","(Georgetown)","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1974,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"8",272,"'P' St. 'Beach' in Georgetown","","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1975,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"9",228,"'P' St. ""Beach""","(Georgetown)","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1972,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"10",287,"'P' St. Beach","(Georgetown)","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1976,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"11",349,"'P' Street Beach (Georgetown)","","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz","Cruising Areas",1980,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"12",317,"'P' Street Beach (Georgetown)","","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1978,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"13",333,"'P' Street Beach (Georgetown)","","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"14",300,"""P"" Street Beach (Georgetown)","","",-77.049748,38.90945,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1977,"Pin placed in middle of block","2/24/2020 5:41pm","2/26/2020 4:31pm",", District of Columbia","Verified Location"
"15",328,"""The Block"" ","from 30th to 31st, betw. 'O' & Dumbarton (Georgetown)","",-77.061198,38.90797,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1979,"","2/24/2020 5:41pm","2/26/2020 4:23pm",", District of Columbia","Verified Location"
"16",344,"""The Block"" ","from 30th to 31st, betw. 'O' & Dumbarton (Georgetown)","",-77.061198,38.90797,"unclear_coded_by_hand","Washington","District of Columbia","Cruisy Area","Cruising Areas",1980,"Pin placed in middle of block","2/24/2020 5:41pm","2/26/2020 4:24pm",", District of Columbia","Verified Location"
