"","ID","title","description","streetaddress","city","state","amenityfeatures","type","notes","dateadded","lastmodified","Year","full.address","lon","lat","geoAddress","Status"
"1",78,"Office II","","2590 State Rd. #7","Hollywood","FL","","Bars/Clubs",NA,"9/25/2019 6:54am","10/28/2019 9:41am",1973,"2590 State Rd. #7, Hollywood, FL",-80.207083,25.987029,NA,"Verified Location"
"2",234,"Apartment Lounge","No sign - looks like a private house - park in back & use rear door","2828 Rio Grande, near  Guadalupe & 29th","Austin","TX","(D) - Dancing,""(G) - Girls, but seldom exclusively"",(*) - Very popular","Bars/Clubs","revise address pg 138","12/17/2019 9:52am","12/17/2019 9:52am",1975,"2828 Rio Grande, near  Guadalupe & 29th, Austin, TX",-97.7441954,30.2957037,"2828 rio grande st, austin, tx 78705, usa","Google Verified Location"
"3",274,"Louise's Lounge","","inquire locally","Victoria","TX","","Bars/Clubs",NA,"9/7/2019 11:53pm","9/8/2019 12:05am",1970,"117 - 1/2  So. Main Street , Victoria, TX",-97.00665,28.79864,"unclear_coded_by_hand","Verified Location"
"4",594,"Banos Jordan","(Baths) (Ciudad Juarez)","557 Delgallado","Ciudad Juarez","Mexico","","Baths",NA,"11/8/2019 7:35pm","11/10/2019 1:45pm",1977,"557 Delgallado, El Paso, TX",-106.4245478,31.6903638,"ciudad juárez, chihuahua, mexico","Google Verified Location"
"5",845,"Steak  'n ' Eggs","","1707 Washington","Waco","TX","(M) - Mixed - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant","","10/25/2019 8:07pm","10/28/2019 9:54am",1979,"1707 Washington, Waco, TX",-97.144438,31.548246,NA,"Google Verified Location"
"6",986,"Steak 'n' Eggs","","1707 Washington","Waco","TX","(M) - Mixed Crowds - Some Straights,""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours","Restaurant","","12/6/2019 6:15pm","12/7/2019 11:33am",1980,"1707 Washington, Waco, TX",-97.144438,31.548246,NA,"Google Verified Location"
"7",3357,"21st St. Beach","","","Virginia Beach","VA","Cruisy Area","Cruising Areas","","","",1980,", Virginia Beach, VA",-75.973896,36.84954,"unclear_coded_by_hand","Verified Location"
"8",210,"Sherwood's","","2105 Atlantic","Virginia Beach","VA","","Bars/Clubs",NA,"8/23/2019 1:58am","9/7/2019 11:23am",1968,"2105 Atlantic, Virginia Beach, VA",-75.974754,36.849503,"2105 atlantic ave, virginia beach, va 23451, usa","Google Verified Location"
"9",226,"Sherwood's","","2105 Atlantic","Virginia Beach","VA","","Bars/Clubs",NA,"8/13/2019 7:57am","9/7/2019 11:22am",1966,"2105 Atlantic, Virginia Beach, VA",-75.974754,36.849503,"2105 atlantic ave, virginia beach, va 23451, usa","Google Verified Location"
"10",154,"Craig's","","2101 Atlantic","Virginia Beach","VA","(*) - Very popular","Bars/Clubs",NA,"8/19/2019 1:12am","9/7/2019 2:22pm",1965,"2101 Atlantic, Virginia Beach, VA",-75.974762,36.8493461,"2101 atlantic ave, virginia beach, va 23451, usa","Google Verified Location"
"11",208,"Craig's","","2101 Atlantic","Virginia Beach","VA","(*) - Very popular","Bars/Clubs",NA,"8/23/2019 1:58am","9/7/2019 11:23am",1968,"2101 Atlantic, Virginia Beach, VA",-75.974762,36.8493461,"2101 atlantic ave, virginia beach, va 23451, usa","Google Verified Location"
"12",224,"Craig's","","2101 Atlantic","Virginia Beach","VA","(*) - Very popular","Bars/Clubs",NA,"8/13/2019 7:57am","9/7/2019 11:22am",1966,"2101 Atlantic, Virginia Beach, VA",-75.974762,36.8493461,"2101 atlantic ave, virginia beach, va 23451, usa","Google Verified Location"
"13",323,"Hotel Waverly","","","Virginia Beach","VA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","","8/23/2019 3:58am","9/7/2019 1:31pm",1968,", Virginia Beach, VA",-75.97557,36.850182,"unclear_coded_by_hand","Verified Location"
"14",294,"Hotel Waverly","","","Virginia Beach","VA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","","8/13/2019 4:45pm","9/7/2019 1:33pm",1969,", Virginia Beach, VA",-75.97557,36.850182,"unclear_coded_by_hand","Verified Location"
"15",392,"Hotel Waverly","","","Virginia Beach","VA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","","8/19/2019 12:12am","9/7/2019 1:30pm",1965,", Virginia Beach, VA",-75.97557,36.850182,"unclear_coded_by_hand","Verified Location"
"16",354,"Hotel Waverly","","","Virginia Beach","VA","""(H) - Hotel, motel, or other overnight accomodations""","Hotels","The guide actually says ""22nd * Ocean"". I think that has to be a typo because that doesn't make any sense as an address.","8/13/2019 9:57am","9/7/2019 1:22pm",1966,", Virginia Beach, VA",-75.97557,36.850182,"unclear_coded_by_hand","Verified Location"
"17",1029,"Pinch's","(Disco) (Closed Sundays)","4728 Virginia Beach Blvd.","Virginia Beach","VA","(D) - Dancing","Bars/Clubs,Restaurant","","12/7/2019 11:36am","12/7/2019 12:05pm",1980,"4728 Virginia Beach Blvd., Virginia Beach, VA",-76.140125,36.844095,"4728 virginia beach blvd, virginia beach, va 23462, usa","Google Verified Location"
"18",507,"Regency Health Club Baths","","3930 E. Ocean View Ave.","Norfolk","VA","","Baths",NA,"10/1/2019 5:02pm","10/5/2019 1:12pm",1973,"3930 E. Ocean View Ave., Norfolk, VA",-76.1942626,36.9310055,"3930 e ocean view ave, norfolk, va 23518, usa","Google Verified Location"
"19",391,"Regency Health Club Baths","","3930 E. Ocean View Ave.","Norfolk","VA","","Baths",NA,"9/13/2019 4:38pm","10/28/2019 9:20am",1972,"3930 E. Ocean View Ave., Norfolk, VA",-76.1942626,36.9310055,"3930 e ocean view ave, norfolk, va 23518, usa","Google Verified Location"
"20",1007,"Nutcracker","(Disco)","846 E. LIttle Creek Rd.","Norfolk","VA","(*) - Very popular,(YC) - Young and/or collegiate types,(D) - Dancing","Restaurant,Bars/Clubs","","12/6/2019 6:15pm","12/7/2019 11:46am",1980,"846 E. LIttle Creek Rd., Norfolk, VA",-76.2489887,36.9155969,"846 e little creek rd, norfolk, va 23518, usa","Google Verified Location"
"21",2966,"Ocean View Amusement Park ","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1978,", Norfolk, VA",-76.250911,36.954612,"unclear_coded_by_hand","Verified Location"
"22",2671,"Ocean View Amusement Park","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1975,", Norfolk, VA",-76.250911,36.954612,"unclear_coded_by_hand","Verified Location"
"23",2165,"Ocean View Amusement Park","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1976,", Norfolk, VA",-76.250911,36.954612,"unclear_coded_by_hand","Verified Location"
"24",168,"Ocean View Amusement Park","","","Norfolk","VA","Cruisy Area","Cruising Areas","","9/7/2019 12:58pm","9/7/2019 1:18pm",1974,", Norfolk, VA",-76.250911,36.954612,"unclear_coded_by_hand","Verified Location"
"25",2396,"Ocean View Amusement Park ","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1977,", Norfolk, VA",-76.250911,36.954612,"unclear_coded_by_hand","Verified Location"
"26",1288,"Ocean View - on beach nr. fishing pier","","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1979,", Norfolk, VA",-76.260671,36.960692,"unclear_coded_by_hand","Verified Location"
"27",3347,"Ocean View","on beach nr. fishing pier","","Norfolk","VA","Cruisy Area","Cruising Areas","","","",1980,", Norfolk, VA",-76.260671,36.960692,"unclear_coded_by_hand","Verified Location"
"28",3345,"Grandview Shores Beach Park","Walk past rock mounds to 'B.A.' Beach
","","Hampton","VA","Cruisy Area","Cruising Areas","","","",1980,", Hampton, VA",-76.274619,37.082564,"unclear_coded_by_hand","Verified Location"
"29",1287,"Grandview Shore Beach - Walk past rock mounds to  'B.A. ' Beach ","","","Hampton","VA","Cruisy Area","Cruising Areas","","","",1979,", Hampton, VA",-76.274619,37.082564,"unclear_coded_by_hand","Verified Location"
"30",1482,"Holiday Inn Midtown","(cocktail lounge)","Tidewater Dr. & Va. Beach Blvd.","Norfolk","VA","(M) - Mixed Crowds","Hotels,Bars/Clubs","","","",1972,"Tidewater Dr. & Va. Beach Blvd., Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
"31",233,"Holiday Inn Midtown","(cocktail lounge)","","Norfolk","VA","(M) - Mixed Crowds","Hotels,Bars/Clubs","","8/31/2019 1:17pm","9/7/2019 1:20pm",1971,", Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
"32",1504,"Holiday Inn Midtown Bar","","Tidewater Dr. & Va. Beach Blvd. ","Norfolk","VA","(M) - Mixed Crowds","Hotels,Bars/Clubs","","","",1973,"Tidewater Dr. & Va. Beach Blvd. , Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
"33",165,"Holiday Inn","Midtown Bar
","","Norfolk","VA","(M) - Mixed Crowds","Hotels,Bars/Clubs","","9/7/2019 12:27pm","9/7/2019 1:18pm",1974,", Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
"34",1730,"Holiday Inn Midtown","(cocktail lounge)","Tidewater Dr. at Va. Beach Blvd.","Norfolk","VA","(PE) - Pretty elegant - jacket & tie may be required,(M) - Mixed Crowds","Hotels,Bars/Clubs","","","",1970,"Tidewater Dr. at Va. Beach Blvd., Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
"35",2185,"Holiday Inn - Midtown Bar","(Liquor)","Tidewater Dr. & Virginia Beach Blvd","Norfolk","VA","(M) - Mixed or partially straight,(OC) - Older/More Mature Crowd","Hotels,Bars/Clubs","","","",1976,"Tidewater Dr. & Virginia Beach Blvd, Norfolk, VA",-76.274677,36.854276,"unclear_coded_by_hand","Verified Location"
