ID,title,description,streetaddress,lon,lat,geoAddress,city,state,amenityfeatures,type,Year,notes,dateadded,lastmodified,full.address,status
249,'Black Forest',walking area under bridge at 27th & Pennsylvania N.W.,,-77.056082,38.904951,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1974,,2/24/2020 5:41pm,2/26/2020 4:19pm,", District of Columbia",Verified Location
236,'Black Forest',walking area under bridge at 27th & Pennsylvania N.W.,,-77.056082,38.904951,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1973,,2/24/2020 5:41pm,2/26/2020 4:19pm,", District of Columbia",Verified Location
262,'Black Forest',walking area under bridge at 27th & Pennsylvania N.W.,,-77.056082,38.904951,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1975,,2/24/2020 5:41pm,2/26/2020 4:19pm,", District of Columbia",Verified Location
292,'Black Forest',walking area under bridge at 27th & Pennsylvania N.W.,,-77.056082,38.904951,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1977,,2/24/2020 5:41pm,2/26/2020 4:19pm,", District of Columbia",Verified Location
224,'Black Forest',walking area under bridge at 27th & Pennsylvania N.W.,,-77.056082,38.904951,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1972,,2/24/2020 5:41pm,2/26/2020 4:19pm,", District of Columbia",Verified Location
278,'Black Forest',walking area under bridge at 27th & Pennsylvania N.W.,,-77.056082,38.904951,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1976,,2/24/2020 5:41pm,2/26/2020 4:19pm,", District of Columbia",Verified Location
257,'P' St. 'Beach' ,(Georgetown),,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1974,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
272,'P' St. 'Beach' in Georgetown,,,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1975,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
228,"'P' St. ""Beach""",(Georgetown),,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1972,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
287,'P' St. Beach,(Georgetown),,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1976,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
349,'P' Street Beach (Georgetown),,,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,"Cruisy Area,(AYOR) -  At Your Own Risk - Dangerous - Usually Fuzz",Cruising Areas,1980,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
317,'P' Street Beach (Georgetown),,,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1978,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
333,'P' Street Beach (Georgetown),,,-77.049748,38.90945,unclear_coded_by_hand,Washington,District of Columbia,Cruisy Area,Cruising Areas,1979,,2/24/2020 5:41pm,2/26/2020 4:23pm,", District of Columbia",Verified Location
