ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified,Year
1,Fire Pit,,1915 5th Avenue North,Birmingham,AL,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:22am,9/7/2019 2:21pm,1965
3,Mammy's Pancake House,,2151 Highland Ave S.,Birmingham,AL,"""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,8/14/2019 12:23am,9/7/2019 2:32pm,1965
4,Red Room,Redmont Hotel,2101 5th Avenue North,Birmingham,AL,,"Bars/Clubs,Hotels",,,8/14/2019 12:23am,12/7/2019 4:58pm,1965
5,Club Royal,,78 S Royal,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
6,Flamingo Room,Mobile Steak House,170 S St. Francis,Mobile,AL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
7,Key Hole,,80 Commerce,Montgomery,AL,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
53,Cameo Lounge,,182 Spring NW,Atlanta,GA,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
54,Hank & Jerry's,,1006 Peachtree,Atlanta,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
55,Mama Mia's,,1129 Peachtree,Atlanta,GA,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
56,Mrs P's,"Ponce de Leon Hotel
",551 Ponce de Leon NE,Atlanta,GA,(*) - Very popular,"Bars/Clubs,Hotels",,,8/14/2019 12:23am,12/7/2019 4:58pm,1965
58,Prince George,,114 6th St. NE,Atlanta,GA,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
59,Rebel Room,,1001 Green St.,Augusta,GA,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
60,Checkmate,,1305 1st Ave,Columbus,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
61,Ann's Tic Toc,,408 Broadway,Macon,GA,(*) - Very popular,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
62,Colonial Gardens,,115 Abercorn,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
63,De Soto Hotel Bar,,15 E Liberty,Savannah,GA,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/14/2019 12:23am,12/7/2019 4:58pm,1965
64,Pirate's Cove,,82 E Broad,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
65,Port Royal,,207 E River St,Savannah,GA,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
70,Bouldevard,,311 N Boulevard,Baton Rouge,LA,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
72,Red Devil,,4065 Florida,Baton Rouge,LA,,Bars/Clubs,,,8/14/2019 12:23am,9/7/2019 2:21pm,1965
73,Bourbon House,,700 Bourbon St,New Orleans,LA,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 1:40am,9/7/2019 2:21pm,1965
74,Canal St Baths,,417 Canal St,New Orleans,LA,,Baths,,,8/14/2019 1:40am,9/7/2019 2:21pm,1965
75,Dixie's Bar of Music,,701 Bourbon,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
76,Galley House,,542 Chartes St,New Orleans,LA,,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
77,Golden Lantern,,1239 Royal St,New Orleans,LA,,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
78,Lafittie's,,901 Bourbon St,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
79,Regent's Row,,740 Burgundy,New Orleans,LA,(*) - Very popular,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
80,Society Page,,119 Exchange,New Orleans,LA,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
81,Wanda's,,608 Iberville,New Orleans,LA,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
82,Korner,,800 Louisiana,Shreveport,LA,,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
90,Tempo,,159-B E Franklin St,Chapel Hill,NC,(*) - Very popular,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
91,Hoot Mon,,1427 E. 4th,Charlotte,NC,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
92,Sheraton-Barringer Hotel Bar,,426 N Tyson,Charlotte,NC,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/14/2019 1:41am,12/7/2019 4:58pm,1965
94,Cadillac Lounge,,334 Gillespie,Fayetteville,NC,,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
95,Andrew Johnson Hotel Bar,,100 W Martin St,Raleigh,NC,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/14/2019 1:41am,12/7/2019 4:58pm,1965
97,Rainbow,,102 Market,Charleston,SC,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
98,Wagon Wheel,,336 King St,Charleston,SC,,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
99,The Lounge,,1103 Lady,Columbia,SC,,Bars/Clubs,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
100,Pizza Palace,,3201 Brainerd Rd.,Chattanooga,TN,(*) - Very popular,Restaurant,,,8/14/2019 1:41am,9/7/2019 2:21pm,1965
101,Rathskeller,,618 Cherry,Chattanooga,TN,,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
104,Andrew Johnson Hotel Bar,,918 Gay St Sw. ,Knoxville,TN,(M) - Mixed Crowds,"Bars/Clubs,Hotels",,,8/14/2019 2:03am,12/7/2019 4:58pm,1965
105,Brownie's Grill,,2218 Cumberland Ave W,Knoxville,TN,,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:32pm,1965
106,Five-O-Nine Club ,,509 Clinch Ave SW,Knoxville,TN,,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
109,Rendezvous,,64 November 6th St.,Memphis,TN,,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
110,Sharecropper,,266 Walnut St.,Memphis,TN,(M) - Mixed Crowds,Bars/Clubs,,,8/14/2019 2:03am,9/7/2019 2:21pm,1965
