ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Golden Torch,,1915 5th Ave. N.,Birmingham,AL,(*) - Very popular,Bars/Clubs,,,9/4/2019 1:27pm,9/4/2019 2:21pm
2,Jewel Box,Dinkler-Tutwiler Hotel,2001 5th Ave. N. ,Birmingham,AL,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Bars/Clubs,Hotels",,,9/4/2019 1:27pm,12/7/2019 2:02pm
3,Outer Focus,,2900 7th Ave. S.,Birmingham,AL,"(D) - Dancing,(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/4/2019 1:27pm,9/4/2019 2:21pm
4,"Red Room, Redmont Hotel",,2101 5th Ave. N.,Birmingham,AL,,"Bars/Clubs,Hotels",,,9/4/2019 1:27pm,12/7/2019 2:02pm
5,Tito's,,1310 1st Ave. N.,Birmingham,AL,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/4/2019 1:27pm,9/4/2019 2:21pm
6,Todd's,,2151 Highland Ave. S.,Birmingham,AL,"""(C) - Coffee, soft drinks and sometimes snacks"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/4/2019 1:28pm,9/4/2019 2:21pm
7,Black Forest,,3709 Governors Dr. N.W.,Huntsville,AL,,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 2:22pm
9,Club Royal,,78 S. Royal,Mobile,AL,(M) - Mixed Crowds,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 4:04pm
10,Flamingo Room,"Mobile Steak House
",170 S. St. Francis St.,Mobile,AL,(RT) - 'Raunchy types' - downtown type places - often hustlers,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 4:04pm
11,Knight Club,,215 Conti St.,Mobile,AL,(*) - Very popular,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 4:04pm
12,Princess House Lounge,,254 Government St.,Mobile,AL,(*) - Very popular,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 4:04pm
15,Key Hole,,80 Commerce St.,Montgomery,AL,,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 4:04pm
16,Squeeze Inn,,8 N. 6th St.,Ft. Smith,AR,,Bars/Clubs,,,9/4/2019 1:28pm,9/4/2019 4:04pm
