ID,title,description,streetaddress,city,state,Postal Code,isreferencedby,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
1,Pasquale's Pizza,,174 E. Magnolia,Auburn,AL,,,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,8/29/2019 11:23am,10/28/2019 9:14am
2,Pete's ,,816 Opalika Rd.,Auburn,AL,,,(M) - Mixed Crowds,Bars/Clubs,,,8/29/2019 11:27am,10/28/2019 9:19am
3,Aquarian Age ,,1630 2nd Ave. N. ,Birmingham,AL,,,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(B) - Blacks frequent",Bars/Clubs,,,8/29/2019 11:27am,10/28/2019 9:26am
5,Golden Torch,,1915 5th Ave. N. ,Birmingham,AL,,,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,8/29/2019 11:27am,10/28/2019 9:14am
6,Mammy's Pancake House,,2151 Highland Ave. S. ,Birmingham,AL,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks"",""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. """,Restaurant,,,8/29/2019 11:27am,10/28/2019 9:14am
7,Outer Focus,,2900  7th Ave. S. ,Birmingham,AL,,,"""(G) - Girls, but seldom exclusively"",(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/29/2019 11:27am,10/28/2019 9:27am
8,Pitt Grill,(after hours),2300 6th Ave. S.,Birmingham,AL,,,"""(C) - Coffee, soft drinks and sometimes snacks"",(M) - Mixed Crowds",Restaurant,,,8/29/2019 11:27am,10/28/2019 9:16am
9,Shoney's ,(after hours),221 N. 20th,Birmingham,AL,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(M) - Mixed Crowds",Restaurant,,,8/29/2019 11:27am,10/28/2019 9:15am
10,Tito's,(semi private) ,1310 1st Ave. N. ,Birmingham,AL,,,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,8/29/2019 11:27am,10/28/2019 9:27am
125,Armory,(near 6th),834 Juniper N.E.,Atlanta,GA,,,,Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
128,Chuck’s Rathskeller ,,931 Monroe Dr. N.E.,Atlanta,GA,,,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
126,Blue Room,,86 Cain N.W. ,Atlanta,GA,,,"(B) - Blacks frequent,(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
130,Cove ,,586 Worcester N.E. ,Atlanta,GA,,,"(YC) - Young and/or collegiate types,(HIP) - Heads frequent,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
129,Club South Baths,,76 4th St. N.W.,Atlanta,GA,,,(*) - Very popular,Baths,,,9/12/2019 7:12am,10/28/2019 9:20am
132,European Health Spa Baths,,3517 Northside Parkway Dr. N.W.,Atlanta,GA,,,(M) - Mixed Crowds,Baths,,,9/12/2019 7:12am,10/28/2019 9:20am
131,Dupree’s Tavern,,719 Ponce de Leon N.E.,Atlanta,GA,,,"""(G) - Girls, but seldom exclusively"",(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
135,Joy Lounge ,,557 Ponce de Leon N.E.,Atlanta,GA,,,"(M) - Mixed Crowds,(HIP) - Heads frequent,""(G) - Girls, but seldom exclusively"",(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
134,International House of Pancakes,,1516 Piedmont Ave. N.E. ,Atlanta,GA,,,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/12/2019 7:12am,10/28/2019 9:15am
133,Gene & Gabe’s ,(popular Sundays),1578 Piedmont Ave. N.E.,Atlanta,GA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(BYOB) - Bring your own bottle",Restaurant,,,9/12/2019 7:12am,10/28/2019 9:15am
136,Lion’s Head ,,1915 Peachtree Rd. N.E.,Atlanta,GA,,,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(PE) - Pretty elegant - jacket & tie may be required",Restaurant,,,9/12/2019 7:12am,10/28/2019 9:15am
138,Onyx,,341 Peachtree St. N.E.,Atlanta,GA,,,(*) - Very popular,Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
137,Mrs. P’s,Ponce de Leon Hotel,551 Ponce de Leon N.E.,Atlanta,GA,,,"""(SM) - Some motorcycle. Don't confuse with 'M-S,' which means mixed crowds - shows. "",(*) - Very popular","Hotels,Bars/Clubs",,,9/12/2019 7:12am,10/28/2019 9:18am
140,Prince George Inn,,114 6th St. N.E.,Atlanta,GA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(PE) - Pretty elegant - jacket & tie may be required",Restaurant,,,9/12/2019 7:12am,10/28/2019 9:15am
139,Other Room,(In the same building & next door to Chuck’s),931 Monroe Dr. N.E.,Atlanta,GA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/12/2019 7:12am,10/28/2019 9:15am
141,Red Dog Saloon,,3106 Peachtree Rd. N.E.,Atlanta,GA,,,"""(G) - Girls, but seldom exclusively"",(M) - Mixed Crowds",Bars/Clubs,,,9/12/2019 7:12am,10/28/2019 9:27am
147,Fiesta Lounge ,,1429 1st Ave. ,Columbus,GA,,,"(YC) - Young and/or collegiate types,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
150,Waverly Hotel Bar,,1st Ave. at 13th St.,Columbus,GA,,,(M) - Mixed Crowds,"Hotels,Bars/Clubs",,,9/12/2019 7:33am,10/28/2019 9:17am
149,Rebel Room,,1001 Greene,Columbus,GA,,,(M) - Mixed Crowds,Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
152,Basement,,340 Bull,Savannah,GA,,,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
151,Ann’s Tic Toc,,408 Broadway,Macon,GA,,,"(D) - Dancing,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
154,De Soto Hilton Hotel Bar,,15 E. Liberty,Savannah,GA,,,"(M) - Mixed Crowds,(PE) - Pretty elegant - jacket & tie may be required","Hotels,Bars/Clubs",,,9/12/2019 7:33am,10/28/2019 9:17am
153,Colonial Lounge ,,115 Albecorn,Savannah,GA,,,"(RT) - 'Raunchy types' - downtown type places - often hustlers,(*) - Very popular",Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
155,Johnnie Ganem’s,(after hours),501 Habersham,Savannah,GA,,,"(M) - Mixed Crowds,""(C) - Coffee, soft drinks and sometimes snacks"",""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/12/2019 7:33am,10/28/2019 9:15am
157,Rio Lounge,,116 Drayton,Savannah,GA,,,"(M) - Mixed Crowds,(RT) - 'Raunchy types' - downtown type places - often hustlers",Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
156,Madison Square ,(above the Basement),340 Bull,Savannah,GA,,,"""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,9/12/2019 7:33am,10/28/2019 9:15am
158,Sign of the White Hart,,301 E. President St.,Savannah,GA,,,"(M) - Mixed Crowds,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",(PE) - Pretty elegant - jacket & tie may be required",Restaurant,,,9/12/2019 7:33am,10/28/2019 9:15am
160,Kitten’s Korner,,19 16th St.,Savannah Beach,GA,,,(M) - Mixed Crowds,Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
161,Novelty Bar,,16th St.,Savannah Beach,GA,,,(M) - Mixed Crowds,Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
173,The Den,,5569 Greenwells Spgs. Rd.,Baton Rouge,LA,,,(*) - Very popular,Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
172,Bungalow,,557 3rd St.,Baton Rouge,LA,,,(*) - Very popular,Bars/Clubs,,,9/12/2019 7:33am,10/28/2019 9:27am
