ID,title,description,streetaddress,city,state,amenityfeatures,type,unclearaddress,notes,dateadded,lastmodified
2,Pasquale’s Pizza ,,174 E. Magnolia  ,Auburn,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. """,Restaurant,,,11/5/2019 10:36am,11/10/2019 1:48pm
3,Pete’s ,"(Some G, RT, OC)",816 Opalika Road,Auburn,AL,(M) - Mixed - Some Straights ,Bars/Clubs,,,11/5/2019 10:36am,11/10/2019 2:20pm
4,Chances R Lounge ,(Opens Sundays) ,208 North 23rd Street,Birmingham,AL,"(D) - Dancing,(S) - Shows - impersonators or record pantomime acts - often touristy,(*) - Very popular",Bars/Clubs,,,11/5/2019 10:36am,11/10/2019 2:21pm
5,Coming Attractions,"(Some G, B) ",318 South 14th Street,Birmingham,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,11/5/2019 10:36am,11/10/2019 2:21pm
6,Gizmo,,909 South 22nd ,Birmingham,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,11/5/2019 10:36am,11/10/2019 2:21pm
7,Mammy’s Pancake House ,,2151 Highland Avenue North ,Birmingham,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(G) - Girls/Ms, but seldom exclusively"",""(C) - Coffee, soft drinks and sometimes snacks"",(AH) - After Hours",Restaurant,,,11/5/2019 10:36am,11/10/2019 1:48pm
12,Why Not Eat Here Cafe ,"Heart of Dothan Motel (Some W, SM)",220 Moulton St. ,Decatur,AL,(M) - Mixed - Some Straights ,"Restaurant,Hotels",,,11/5/2019 10:36am,12/15/2019 5:00pm
13,Upstairs Bar ,(Late) ,314 N. Foster,Dothan,AL,(M) - Mixed - Some Straights ,Bars/Clubs,,,11/5/2019 10:36am,11/10/2019 2:21pm
14,Pitt Grill,,400 E. Tennessee,Florence,AL,"(M) - Mixed - Some Straights ,""(R) - Restaurant, usually serving dinner. A '*' after this symbol does not necessarily indicate quality of food served, but popularity of the place. "",""(C) - Coffee, soft drinks and sometimes snacks""",Restaurant,,,11/5/2019 10:36am,11/10/2019 1:48pm
16,Howard Johnson’s Motel Lounge ,,2524 Memorial Parkway ,Huntsville,AL,(M) - Mixed - Some Straights ,"Hotels,Bars/Clubs",,,11/5/2019 10:36am,11/10/2019 1:59pm
18,Fireside ,,54 S. Conception ,Mobile,AL,"(YC) - Young and/or collegiate types,(D) - Dancing,(*) - Very popular",Bars/Clubs,,,11/5/2019 10:41am,11/10/2019 2:21pm
